position,rank,patent_id,serpapi_link,title,priority_date,filing_date,grant_date,publication_date,inventor,assignee,publication_number,language,thumbnail,pdf,page
7,6,patent/US11662903B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11662903B2%2Fen,Virtual smart phone,2010-04-15,2022-04-26,2023-05-30,2023-05-30,Michael Kildevaeld,Kcg Technologies Llc,US11662903B2,en,https://patentimages.storage.googleapis.com/5d/6a/df/aa59dcf90e755f/US11662903-20230530-D00000.png,https://patentimages.storage.googleapis.com/50/88/d9/495a6035a46e53/US11662903.pdf,12.0
8,7,patent/US11016318B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11016318B2%2Fen,Optical stack for switchable directional display,2017-05-08,2018-12-19,2021-05-25,2021-05-25,Michael G. Robinson,"Reald Spark, Llc",US11016318B2,en,https://patentimages.storage.googleapis.com/9f/e2/57/905b5a9e60bc30/US11016318-20210525-D00000.png,https://patentimages.storage.googleapis.com/43/cb/36/a23eba045f0a83/US11016318.pdf,12.0
9,8,patent/US11474397B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11474397B2%2Fen,Optical stack for switchable directional display,2017-09-15,2020-10-06,2022-10-18,2022-10-18,Michael G. Robinson,"Reald Spark, Llc",US11474397B2,en,https://patentimages.storage.googleapis.com/ad/79/7e/c905763534d0ed/US11474397-20221018-D00000.png,https://patentimages.storage.googleapis.com/fa/a6/08/bf5bdbcbbad525/US11474397.pdf,12.0
10,9,patent/US11343316B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11343316B2%2Fen,Highly assisted driving platform,2014-07-23,2019-05-14,2022-05-24,2022-05-24,Leon Oliver Stenneth,Here Global B.V.,US11343316B2,en,https://patentimages.storage.googleapis.com/52/d5/8a/7752bab50a6dbf/US11343316-20220524-D00000.png,https://patentimages.storage.googleapis.com/c9/16/64/1d5dbb4283c753/US11343316.pdf,12.0
1,0,patent/US20210250107A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210250107A1%2Fen,Methods and apparatuses for testing wireless communication to vehicles,2014-01-30,2021-03-04,,2021-08-12,Per-Simon Kildal,Ranlos Ab,US20210250107A1,en,https://patentimages.storage.googleapis.com/a4/4f/3d/1dd39d93763115/US20210250107A1-20210812-D00000.png,https://patentimages.storage.googleapis.com/75/5c/75/edc28107f639c3/US20210250107A1.pdf,13.0
2,1,patent/US10331136B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10331136B2%2Fen,General purpose robotics operating system with unmanned and autonomous vehicle …,2006-02-27,2017-12-05,2019-06-25,2019-06-25,Paul J. Perrone,"Perrone Robotics, Inc.",US10331136B2,en,https://patentimages.storage.googleapis.com/37/eb/b1/dfc424a1276a45/US10331136-20190625-D00000.png,https://patentimages.storage.googleapis.com/d5/03/90/b25f19ceb626eb/US10331136.pdf,13.0
3,2,patent/US10919389B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10919389B2%2Fen,Networked vehicle immobilization,2015-10-13,2020-03-17,2021-02-16,2021-02-16,Douglas Edward DeVries,"Consumer Safety Technology, Llc",US10919389B2,en,https://patentimages.storage.googleapis.com/49/63/bd/be998e5fa17f2f/US10919389-20210216-D00000.png,https://patentimages.storage.googleapis.com/02/25/69/cd29ed3e8c6249/US10919389.pdf,13.0
4,3,patent/US10821849B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10821849B2%2Fen,Power management in a hybrid electric vehicle,2005-11-17,2017-10-16,2020-11-03,2020-11-03,Martin Koebler,Invently Automotive Inc.,US10821849B2,en,https://patentimages.storage.googleapis.com/5e/a7/74/a3ba3356499890/US10821849-20201103-D00000.png,https://patentimages.storage.googleapis.com/19/67/9a/d3abd0faca4f15/US10821849.pdf,13.0
5,4,patent/CN210578605U/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN210578605U%2Fen,Automobile electronic and electrical architecture topological structure based …,2019-12-10,2019-12-10,2020-05-19,2020-05-19,袁仲楠,上海怿星电子科技有限公司,CN210578605U,en,https://patentimages.storage.googleapis.com/f3/96/20/15860f3db437c0/HDA0002311853700000011.png,https://patentimages.storage.googleapis.com/0f/af/94/ede752e8933e14/CN210578605U.pdf,13.0
6,5,patent/US11422000B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11422000B2%2Fen,Systems and methods using artificial intelligence for routing electric vehicles,2017-02-22,2021-04-09,2022-08-23,2022-08-23,Robert D. Pedersen,Robert D. Pedersen,US11422000B2,en,https://patentimages.storage.googleapis.com/f1/a8/11/10b6b44da1a3b9/US11422000-20220823-D00000.png,https://patentimages.storage.googleapis.com/b9/98/45/d86ac614441264/US11422000.pdf,13.0
7,6,patent/US10701102B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10701102B2%2Fen,Hardware module-based authentication in intra-vehicle networks,2017-10-03,2018-10-02,2020-06-30,2020-06-30,Kai Zeng,George Mason University,US10701102B2,en,https://patentimages.storage.googleapis.com/65/fd/f0/cb603de5be52cf/US10701102-20200630-D00000.png,https://patentimages.storage.googleapis.com/f1/06/b7/8a2fe1b63478e5/US10701102.pdf,13.0
8,7,patent/US10755115B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10755115B2%2Fen,"Method, apparatus, and system for generating synthetic image data for machine …",2017-12-29,2017-12-29,2020-08-25,2020-08-25,Avi AVIDAN,Here Global B.V.,US10755115B2,en,https://patentimages.storage.googleapis.com/5e/e5/50/5262b8d5231fae/US10755115-20200825-D00000.png,https://patentimages.storage.googleapis.com/8c/28/f5/b58dfd363cfe76/US10755115.pdf,13.0
9,8,patent/US11659256B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11659256B2%2Fen,Media substitution task based on broadcast watermark,2016-08-01,2021-02-19,2023-05-23,2023-05-23,Jeffrey Lee Littlejohn,"Iheartmedia Management Services, Inc.",US11659256B2,en,https://patentimages.storage.googleapis.com/54/a8/28/a14203258892bd/US11659256-20230523-D00000.png,https://patentimages.storage.googleapis.com/44/f3/7f/598c5db6b1a084/US11659256.pdf,13.0
10,9,patent/US20220114846A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20220114846A1%2Fen,Safety for vehicle users,2019-03-26,2021-12-22,,2022-04-14,Hari Balakrishnan,Cambridge Mobile Telematics Inc.,US20220114846A1,en,https://patentimages.storage.googleapis.com/df/88/14/a21730b7450e27/US20220114846A1-20220414-D00000.png,https://patentimages.storage.googleapis.com/3e/c8/e2/5ce148ada070d3/US20220114846A1.pdf,13.0
1,0,patent/US10885722B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10885722B2%2Fen,Power management in an electric vehicle,2005-11-17,2017-10-10,2021-01-05,2021-01-05,Martin Koebler,Invently Automotive Inc.,US10885722B2,en,https://patentimages.storage.googleapis.com/3c/18/fc/eb723e97c75857/US10885722-20210105-D00000.png,https://patentimages.storage.googleapis.com/d8/7d/56/6849a49d38a8cd/US10885722.pdf,14.0
2,1,patent/US11628773B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11628773B2%2Fen,Method for forming a reflective element for a vehicular interior rearview …,2003-05-20,2020-06-22,2023-04-18,2023-04-18,Niall R. Lynam,Donnelly Corporation,US11628773B2,en,https://patentimages.storage.googleapis.com/80/0d/9c/32deee8a75efe2/US11628773-20230418-D00000.png,https://patentimages.storage.googleapis.com/f2/2f/b4/9ed01214436bd4/US11628773.pdf,14.0
3,2,patent/CN111655135B/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN111655135B%2Fen,"Apparatus, system and method for physiological sensing in a vehicle",2017-12-22,2018-12-21,2024-01-12,2024-01-12,雷德蒙·肖尔代斯,瑞思迈传感器技术有限公司,CN111655135B,en,,https://patentimages.storage.googleapis.com/35/9d/af/66e964f38a4331/CN111655135B.pdf,14.0
4,3,patent/US20220353732A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20220353732A1%2Fen,Edge computing technologies for transport layer congestion control and point-of …,2019-10-04,2020-09-25,,2022-11-03,Miltiadis Filippou,Intel Corporation,US20220353732A1,en,https://patentimages.storage.googleapis.com/12/c9/b7/4d4a3885c6d449/US20220353732A1-20221103-D00000.png,https://patentimages.storage.googleapis.com/80/21/d8/48eef15cb37ab8/US20220353732A1.pdf,14.0
5,4,patent/US11637696B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11637696B2%2Fen,End-to-end communication security,2017-12-07,2022-03-08,2023-04-25,2023-04-25,Tal Efraim Ben David,Karamba Security Ltd.,US11637696B2,en,https://patentimages.storage.googleapis.com/86/23/25/c2d5a691465aec/US11637696-20230425-D00000.png,https://patentimages.storage.googleapis.com/36/47/0a/8852add6c2da76/US11637696.pdf,14.0
6,5,patent/US10685159B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10685159B2%2Fen,Analog functional safety with anomaly detection,2018-06-27,2018-06-27,2020-06-16,2020-06-16,Fei Su,Intel Corporation,US10685159B2,en,https://patentimages.storage.googleapis.com/64/90/e6/cd8443f1c6562f/US10685159-20200616-D00000.png,https://patentimages.storage.googleapis.com/ea/50/31/58d4f2544c960d/US10685159.pdf,14.0
7,6,patent/US10753566B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10753566B2%2Fen,Methods and apparatus for illumination with laser modulated adaptive beam …,2014-06-26,2018-10-22,2020-08-25,2020-08-25,Vikrant R. Bhakta,Texas Instruments Incorporated,US10753566B2,en,https://patentimages.storage.googleapis.com/d3/16/b8/0c1afba0db3b71/US10753566-20200825-D00000.png,https://patentimages.storage.googleapis.com/76/61/ab/d5e2ac5ab9a1b5/US10753566.pdf,14.0
8,7,patent/US10906398B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10906398B2%2Fen,System and method for an improved control of data stream management in a …,2011-11-16,2019-05-14,2021-02-02,2021-02-02,Christopher Ricci,Ach Holdings Llc,US10906398B2,en,https://patentimages.storage.googleapis.com/5c/9f/90/70c61fce8a5701/US10906398-20210202-D00000.png,https://patentimages.storage.googleapis.com/b3/ee/9b/2d9b6cfc4535e5/US10906398.pdf,14.0
9,8,patent/US11472375B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11472375B2%2Fen,Integrated multi image sensor and lens washing nozzle assembly and method for …,2014-04-16,2020-01-06,2022-10-18,2022-10-18,Chunling ZHAO,"Dlhbowles, Inc.",US11472375B2,en,https://patentimages.storage.googleapis.com/53/b4/02/83866a32c273d6/US11472375-20221018-D00000.png,https://patentimages.storage.googleapis.com/fb/c7/90/cc90e52649dc6e/US11472375.pdf,14.0
10,9,patent/US10053013B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10053013B2%2Fen,Vision system for vehicle,2000-03-02,2017-11-06,2018-08-21,2018-08-21,Andrew D. Weller,Magna Electronics Inc.,US10053013B2,en,https://patentimages.storage.googleapis.com/e5/25/7e/29f4d51b2399a1/US10053013-20180821-D00000.png,https://patentimages.storage.googleapis.com/10/26/48/073a9943dc2c1a/US10053013.pdf,14.0
1,0,patent/US10683008B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10683008B2%2Fen,Vehicular driving assist system using forward-viewing camera,2002-05-03,2019-07-15,2020-06-16,2020-06-16,John A. Pawlicki,Magna Electronics Inc.,US10683008B2,en,https://patentimages.storage.googleapis.com/e8/78/3a/08f5a7e9ab2fc5/US10683008-20200616-D00000.png,https://patentimages.storage.googleapis.com/d0/f6/c1/5664eae5bfa5f9/US10683008.pdf,15.0
2,1,patent/US11668815B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11668815B2%2Fen,Systems and methods for detecting objects,2018-05-18,2019-06-25,2023-06-06,2023-06-06,Michael Prados,Zendar Inc.,US11668815B2,en,https://patentimages.storage.googleapis.com/ad/92/2b/6a114348dc071b/US11668815-20230606-D00000.png,https://patentimages.storage.googleapis.com/d4/82/26/27c612db8c6198/US11668815.pdf,15.0
3,2,patent/US20230074288A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20230074288A1%2Fen,V2x services for providing journey-specific qos predictions,2019-05-07,2020-05-06,,2023-03-09,Miltiadis Filippou,Intel Corporation,US20230074288A1,en,https://patentimages.storage.googleapis.com/ff/98/9d/d79aa5f2347258/US20230074288A1-20230309-D00000.png,https://patentimages.storage.googleapis.com/4e/af/3f/0d34a1f0ae55e4/US20230074288A1.pdf,15.0
4,3,patent/US10133385B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10133385B1%2Fen,Transaction automation and archival system using electronic contract disclosure …,2005-01-27,2017-12-19,2018-11-20,2018-11-20,William C. Maloney,"Reynolds &amp; Reynolds Holdings, Inc.",US10133385B1,en,https://patentimages.storage.googleapis.com/fa/ba/15/9dfd70fed34c01/US10133385-20181120-D00000.png,https://patentimages.storage.googleapis.com/f1/79/88/59498a8538fcb7/US10133385.pdf,15.0
5,4,patent/US10883849B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10883849B2%2Fen,User terminal device for displaying map and method thereof,2013-08-19,2018-08-06,2021-01-05,2021-01-05,Jong-woo JUNG,"Samsung Electronics Co., Ltd.",US10883849B2,en,https://patentimages.storage.googleapis.com/8f/34/8a/a52dad356358d7/US10883849-20210105-D00000.png,https://patentimages.storage.googleapis.com/95/6b/86/8c78292596e379/US10883849.pdf,15.0
6,5,patent/US11626827B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11626827B2%2Fen,Pulsed electric machine control,2018-03-19,2021-12-07,2023-04-11,2023-04-11,Adya S. Tripathi,"Tula eTechnology, Inc.",US11626827B2,en,https://patentimages.storage.googleapis.com/34/b3/e2/8e22eeba9b7e23/US11626827-20230411-D00000.png,https://patentimages.storage.googleapis.com/30/e6/93/060ce51ac63f4c/US11626827.pdf,15.0
7,6,patent/US10829125B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10829125B2%2Fen,"Processing method, program, processing apparatus, and detection system",2013-10-11,2019-03-15,2020-11-10,2020-11-10,Shinichi Shikii,Panasonic Intellectual Property Corporation Of America,US10829125B2,en,https://patentimages.storage.googleapis.com/c8/ad/92/678d521442362f/US10829125-20201110-D00000.png,https://patentimages.storage.googleapis.com/76/39/ba/15c898af6a4286/US10829125.pdf,15.0
8,7,patent/EP3625582B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FEP3625582B1%2Fen,Tunable dielectric metamaterial lens device for radar sensing,2017-05-19,2018-05-15,2021-02-24,2021-02-24,Andreas OLK,IEE International Electronics &amp; Engineering S.A.,EP3625582B1,en,https://patentimages.storage.googleapis.com/19/9e/85/8a6ec478b39a3e/imgf0001.png,https://patentimages.storage.googleapis.com/d3/cc/9d/9b5c5559b79dbb/EP3625582B1.pdf,15.0
9,8,patent/US11250453B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11250453B2%2Fen,System and method for sales generation in conjunction with a vehicle data …,2008-09-09,2020-11-20,2022-02-15,2022-02-15,Philip Inghelbrecht,"Truecar, Inc.",US11250453B2,en,https://patentimages.storage.googleapis.com/42/d0/28/b633e68c327cff/US11250453-20220215-D00000.png,https://patentimages.storage.googleapis.com/70/10/2f/3cfdfda9dc26b8/US11250453.pdf,15.0
10,9,patent/US10830867B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10830867B2%2Fen,"Radar unit, integrated circuit and methods for detecting and mitigating mutual …",2017-08-18,2018-06-19,2020-11-10,2020-11-10,Yu Lin,Nxp B.V.,US10830867B2,en,https://patentimages.storage.googleapis.com/cd/11/9b/e752ee137c90fe/US10830867-20201110-D00000.png,https://patentimages.storage.googleapis.com/53/e8/63/e5c3c6b0ea530c/US10830867.pdf,15.0
1,0,patent/US10447705B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10447705B2%2Fen,Cloud-based device information storage,2008-08-14,2018-02-13,2019-10-15,2019-10-15,Narayanan Ganapathy,"Microsoft Technology Licensing, Llc",US10447705B2,en,https://patentimages.storage.googleapis.com/79/4c/bd/a95fe51f181f09/US10447705-20191015-D00000.png,https://patentimages.storage.googleapis.com/15/3c/cb/5d030807e2c26e/US10447705.pdf,16.0
2,1,patent/US11568754B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11568754B2%2Fen,Guiding creation of an electronic survey,2016-10-31,2021-02-01,2023-01-31,2023-01-31,Jared Smith,"Qualtrics, Llc",US11568754B2,en,https://patentimages.storage.googleapis.com/48/b1/12/95a87e391eb21a/US11568754-20230131-D00000.png,https://patentimages.storage.googleapis.com/63/52/f5/dd56d58bb7e0e5/US11568754.pdf,16.0
3,2,patent/US11500378B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11500378B2%2Fen,Active lighting control for communicating a state of an autonomous vehicle to …,2015-11-04,2017-09-27,2022-11-15,2022-11-15,Timothy David Kentley-Klay,"Zoox, Inc.",US11500378B2,en,https://patentimages.storage.googleapis.com/1f/7b/8c/21a8e1aa1bcfc5/US11500378-20221115-D00000.png,https://patentimages.storage.googleapis.com/67/46/56/dffd7ea2cb875c/US11500378.pdf,16.0
4,3,patent/US10663771B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10663771B2%2Fen,Optical filter with light source,2012-02-23,2019-04-18,2020-05-26,2020-05-26,Neil Robin Branda,"Switch Materials, Inc.",US10663771B2,en,https://patentimages.storage.googleapis.com/fa/79/49/f54a07c9fab24f/US10663771-20200526-D00000.png,https://patentimages.storage.googleapis.com/f6/f3/4d/0c8818e80d1351/US10663771.pdf,16.0
5,4,patent/US11500388B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11500388B2%2Fen,System of configuring active lighting to indicate directionality of an …,2015-11-04,2019-08-06,2022-11-15,2022-11-15,Timothy David Kentley-Klay,"Zoox, Inc.",US11500388B2,en,https://patentimages.storage.googleapis.com/49/76/98/dd538b3bf54851/US11500388-20221115-D00000.png,https://patentimages.storage.googleapis.com/da/aa/97/9ca2e62ef58127/US11500388.pdf,16.0
6,5,patent/US11313063B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11313063B2%2Fen,Needle punched carpet,2012-05-12,2019-10-18,2022-04-26,2022-04-26,James Taylor,Autoneum Management Ag,US11313063B2,en,https://patentimages.storage.googleapis.com/dd/02/1d/ff007eb558d353/US11313063-20220426-D00000.png,https://patentimages.storage.googleapis.com/06/55/20/307bf0e6cf38ae/US11313063.pdf,16.0
7,6,patent/US10408992B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10408992B2%2Fen,Segmented imaging directional backlights,2017-04-03,2018-03-29,2019-09-10,2019-09-10,Graham J. Woodgate,"Reald Spark, Llc",US10408992B2,en,https://patentimages.storage.googleapis.com/e4/7d/41/4d116cc221ea1a/US10408992-20190910-D00000.png,https://patentimages.storage.googleapis.com/16/1f/e3/bf049d7a278a1a/US10408992.pdf,16.0
8,7,patent/US9983305B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS9983305B2%2Fen,Low cost 3D radar imaging and 3D association method from low count linear …,2016-03-24,2017-07-14,2018-05-29,2018-05-29,Richard E. Pavek,"RFNAV, Inc.",US9983305B2,en,https://patentimages.storage.googleapis.com/a7/7b/70/f954770b03e590/US09983305-20180529-D00000.png,https://patentimages.storage.googleapis.com/34/88/03/c73aedb56724df/US9983305.pdf,16.0
9,8,patent/US11899669B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11899669B2%2Fen,Searching of data structures in pre-processing data for a machine learning …,2017-03-20,2018-03-20,2024-02-13,2024-02-13,Jonathan Cagan,Carnegie Mellon University,US11899669B2,en,https://patentimages.storage.googleapis.com/46/a1/38/d177de98ca6037/US11899669-20240213-D00000.png,https://patentimages.storage.googleapis.com/04/c9/d9/65a8176469bb9c/US11899669.pdf,16.0
10,9,patent/US11738729B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11738729B2%2Fen,Brake control unit,2004-10-08,2020-06-22,2023-08-29,2023-08-29,Marcia Albright,Horizon Global Americas Inc.,US11738729B2,en,https://patentimages.storage.googleapis.com/27/ea/b4/573b9e746737a2/US11738729-20230829-D00000.png,https://patentimages.storage.googleapis.com/05/b9/ca/278c2b96011f60/US11738729.pdf,16.0
1,0,patent/US11091092B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11091092B2%2Fen,Method for robotic vehicle communication with an external environment via …,2015-11-04,2017-12-19,2021-08-17,2021-08-17,Timothy David Kentley-Klay,"Zoox, Inc.",US11091092B2,en,https://patentimages.storage.googleapis.com/f9/e3/ed/21f69611810472/US11091092-20210817-D00000.png,https://patentimages.storage.googleapis.com/3f/87/47/6059ea21d1dc69/US11091092.pdf,17.0
2,1,patent/US11572075B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11572075B2%2Fen,Dangerous driving event reporting,2014-05-30,2020-07-28,2023-02-07,2023-02-07,Leon Stenneth,Here Global B.V.,US11572075B2,en,https://patentimages.storage.googleapis.com/ca/9d/53/fd25f60cbf31c7/US11572075-20230207-D00000.png,https://patentimages.storage.googleapis.com/2c/dd/90/30f5b784fc87db/US11572075.pdf,17.0
3,2,patent/US11792613B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11792613B1%2Fen,System for location based triggers for mobile devices,2011-03-01,2021-09-13,2023-10-17,2023-10-17,Scott Sturges Andrews,"Dyfan, LLC",US11792613B1,en,https://patentimages.storage.googleapis.com/b0/60/c8/a679b440a7e486/US11792613-20231017-D00000.png,https://patentimages.storage.googleapis.com/fd/e9/25/c9f2ad7925ba0e/US11792613.pdf,17.0
4,3,patent/US11721137B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11721137B2%2Fen,"System, method, and apparatus for managing vehicle data collection",2019-09-20,2021-09-08,2023-08-08,2023-08-08,Yu Fang,"Sonatus, Inc.",US11721137B2,en,https://patentimages.storage.googleapis.com/fc/c9/8b/9b25f59a887340/US11721137-20230808-D00000.png,https://patentimages.storage.googleapis.com/fe/4b/d0/64df683603ac49/US11721137.pdf,17.0
5,4,patent/US11676174B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11676174B2%2Fen,Advertising futures marketplace methods and systems,2007-11-02,2021-01-12,2023-06-13,2023-06-13,David SOLOFF,Snap Inc.,US11676174B2,en,https://patentimages.storage.googleapis.com/d8/89/aa/086f830658541e/US11676174-20230613-D00000.png,https://patentimages.storage.googleapis.com/57/85/bd/5693e349d82703/US11676174.pdf,17.0
6,5,patent/US10754018B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10754018B2%2Fen,Frequency modulated continuous wave antenna system,2017-03-20,2019-11-10,2020-08-25,2020-08-25,David Slemp,David Slemp,US10754018B2,en,https://patentimages.storage.googleapis.com/3e/c4/fd/72b6fd6d6cee4e/US10754018-20200825-D00000.png,https://patentimages.storage.googleapis.com/68/9d/10/b9ae9a41aac052/US10754018.pdf,17.0
7,6,patent/US10230298B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10230298B2%2Fen,Resistorless precharging,2013-11-08,2017-11-29,2019-03-12,2019-03-12,Michael Hufnagel,Det International Holding Limited,US10230298B2,en,https://patentimages.storage.googleapis.com/25/10/bc/e49f77b34fff1d/US10230298-20190312-D00000.png,https://patentimages.storage.googleapis.com/a5/ae/84/b6cab9b6a37711/US10230298.pdf,17.0
8,7,patent/US11618438B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11618438B2%2Fen,Three-dimensional object localization for obstacle avoidance using one-shot …,2018-03-26,2018-03-26,2023-04-04,2023-04-04,Mudhakar Srivatsa,International Business Machines Corporation,US11618438B2,en,https://patentimages.storage.googleapis.com/31/a6/41/df44b71e9a1626/US11618438-20230404-D00000.png,https://patentimages.storage.googleapis.com/fc/f8/e9/8779fc87ba5ee3/US11618438.pdf,17.0
9,8,patent/US20200364953A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20200364953A1%2Fen,Systems and methods for managing vehicle data,2018-11-08,2020-08-03,,2020-11-19,Evangelos Simoudis,Evangelos Simoudis,US20200364953A1,en,https://patentimages.storage.googleapis.com/0b/13/c0/72bb8bd75f40f4/US20200364953A1-20201119-D00000.png,https://patentimages.storage.googleapis.com/98/75/96/9b83bbc532938e/US20200364953A1.pdf,17.0
10,9,patent/US10823818B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10823818B2%2Fen,Detector for optically detecting at least one object,2013-06-13,2018-04-24,2020-11-03,2020-11-03,Robert Send,Basf Se,US10823818B2,en,https://patentimages.storage.googleapis.com/17/6a/96/58b2889cd0335e/US10823818-20201103-D00000.png,https://patentimages.storage.googleapis.com/97/89/69/7b80d346f46222/US10823818.pdf,17.0
1,0,patent/US20220126533A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20220126533A1%2Fen,Pultruded articles and methods for making same,2015-03-10,2021-10-26,,2022-04-28,Craig Chmielewski,"Zephyros, Inc.",US20220126533A1,en,https://patentimages.storage.googleapis.com/ea/00/be/d03e998d6f967a/US20220126533A1-20220428-D00000.png,https://patentimages.storage.googleapis.com/2e/49/f9/4c78161b8bd217/US20220126533A1.pdf,18.0
2,1,patent/EP3547620B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FEP3547620B1%2Fen,"A communication method, corresponding system, devices, signal and vehicle",2018-03-26,2019-03-14,2020-11-25,2020-11-25,Mr. Fred RENNIG,STMicroelectronics Application GmbH,EP3547620B1,en,https://patentimages.storage.googleapis.com/61/1a/02/47cc632f3fee0d/imgf0001.png,https://patentimages.storage.googleapis.com/05/c5/95/b6a08b341b9864/EP3547620B1.pdf,18.0
3,2,patent/JP6761452B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP6761452B2%2Fen,Efficient head unit communication integration,2012-12-20,2018-08-29,2020-09-23,2020-09-23,オメーラ マイク,エアビクティ インコーポレイテッド,JP6761452B2,en,,https://patentimages.storage.googleapis.com/c4/d2/a5/164b08928d258f/JP6761452B2.pdf,18.0
4,3,patent/US11073604B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11073604B2%2Fen,Scanning LiDAR system and method,2017-09-19,2020-03-05,2021-07-27,2021-07-27,Emil Hallstig,"Veoneer Us, Inc.",US11073604B2,en,https://patentimages.storage.googleapis.com/28/2b/eb/9fa8e3f4342f42/US11073604-20210727-D00000.png,https://patentimages.storage.googleapis.com/f5/0c/21/aecc1f5092dd43/US11073604.pdf,18.0
5,4,patent/US11182916B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11182916B2%2Fen,Distance to obstacle detection in autonomous machine applications,2018-12-28,2019-12-27,2021-11-23,2021-11-23,Yilin YANG,Nvidia Corporation,US11182916B2,en,https://patentimages.storage.googleapis.com/5b/a4/6b/03ec707031144e/US11182916-20211123-D00000.png,https://patentimages.storage.googleapis.com/17/a8/79/f1ab76b65caf5f/US11182916.pdf,18.0
